epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,46.3635,1.17929,3.73056,1.57498,0.00199,0.85008,0.12221,0.06506,1.05483,3.39117,1.56323,0.00141914,0.000473048,0.00141914,0.000473048,0.00141914,0.000473048,0.00141914,0.000473048
2,75.0195,0.98139,3.36523,1.40666,0.22264,0.4235,0.26647,0.17689,1.018,3.10264,1.4722,0.00279175,0.000930584,0.00279175,0.000930584,0.00279175,0.000930584,0.00279175,0.000930584
3,100.727,0.99168,3.081,1.38946,0.39298,0.44335,0.40983,0.29558,0.9786,2.73332,1.39677,0.00410777,0.00136926,0.00410777,0.00136926,0.00410777,0.00136926,0.00410777,0.00136926
4,129.133,0.96188,2.61233,1.34386,0.70109,0.55229,0.65669,0.46006,0.96142,2.33974,1.3563,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
5,159.546,0.92641,2.30788,1.30252,0.78643,0.68452,0.77357,0.57171,0.8636,1.97263,1.26764,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
6,191.354,0.89363,2.10963,1.27535,0.83635,0.73554,0.81328,0.60571,0.84983,1.78015,1.25186,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
7,222.688,0.86162,1.92133,1.24766,0.86052,0.78584,0.85817,0.64993,0.81981,1.6395,1.22866,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
8,248.123,0.8684,1.85661,1.25021,0.906,0.80069,0.89212,0.68688,0.79275,1.48742,1.20508,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
9,273.102,0.83357,1.72993,1.23334,0.92464,0.8186,0.91419,0.71182,0.75235,1.46332,1.16322,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
10,298.007,0.86455,1.68136,1.23719,0.92041,0.84674,0.91751,0.71278,0.7653,1.37724,1.16105,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
11,322.712,0.83201,1.6575,1.21331,0.93506,0.86574,0.92513,0.73247,0.73951,1.33887,1.14559,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
12,347.901,0.81454,1.59917,1.21062,0.93043,0.85528,0.93931,0.74662,0.69832,1.23822,1.11892,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
13,373.299,0.80216,1.52401,1.18778,0.94329,0.87825,0.93802,0.75693,0.68382,1.15912,1.09246,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
14,398.461,0.76151,1.41863,1.15939,0.94379,0.8821,0.94689,0.76743,0.67255,1.09978,1.08547,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
15,424.642,0.76928,1.3736,1.16364,0.96426,0.91324,0.96105,0.79144,0.64176,0.99195,1.05262,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
16,458.324,0.73614,1.34218,1.1507,0.9495,0.90575,0.95991,0.79108,0.62632,0.9649,1.04132,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
17,490.456,0.76767,1.36184,1.17784,0.95946,0.896,0.95978,0.78705,0.63742,0.93567,1.04448,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
18,522.806,0.74013,1.26666,1.15317,0.9586,0.91957,0.96416,0.78501,0.64376,0.87148,1.06507,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
19,555.058,0.75854,1.27995,1.16091,0.96527,0.93217,0.96913,0.79589,0.6339,0.83297,1.04929,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
20,587.173,0.74831,1.258,1.15408,0.9408,0.93981,0.96171,0.80057,0.61813,0.81875,1.04596,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
21,621.291,0.71773,1.20652,1.13428,0.9612,0.92382,0.97125,0.8147,0.60187,0.78225,1.02158,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
22,646.767,0.71325,1.19068,1.13659,0.9699,0.95502,0.97673,0.82512,0.59232,0.72678,1.0135,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
23,671.707,0.70464,1.16349,1.13951,0.97446,0.92196,0.97042,0.80687,0.5964,0.75204,1.00815,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
24,696.6,0.70426,1.13767,1.13277,0.99077,0.93846,0.97842,0.82566,0.58268,0.67413,1.00384,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
25,721.765,0.70152,1.13369,1.12507,0.98486,0.94332,0.97817,0.82896,0.57535,0.66657,0.99564,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
26,746.804,0.68014,1.06904,1.11795,0.99249,0.94324,0.97871,0.83978,0.55008,0.61042,0.98042,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
27,772.381,0.68185,1.06259,1.11627,0.98196,0.95845,0.98163,0.8413,0.54926,0.60552,0.97338,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
28,798.247,0.64722,1.00577,1.09133,0.97998,0.95144,0.98144,0.83507,0.55556,0.61849,0.97546,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
29,825.402,0.63446,1.02378,1.08875,0.97867,0.95272,0.98177,0.83809,0.54703,0.59831,0.97084,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
30,851.048,0.64108,1.00702,1.09177,0.98396,0.95888,0.98266,0.8404,0.5541,0.58269,0.97917,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
31,876.589,0.64505,0.9621,1.09196,0.98739,0.95554,0.98535,0.85142,0.52722,0.56305,0.95843,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
32,903.395,0.61883,0.93525,1.06423,0.99037,0.95863,0.98513,0.84526,0.5262,0.55474,0.95483,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
33,928.844,0.61722,0.96083,1.08192,0.98941,0.96365,0.98597,0.86202,0.50761,0.53376,0.93975,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
