epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,28.0353,1.19278,3.77628,1.58478,0.00196,0.80897,0.08062,0.03818,1.14565,3.42023,1.63543,0.00141411,0.000471372,0.00141411,0.000471372,0.00141411,0.000471372,0.00141411,0.000471372
2,47.0617,1.04597,3.48659,1.47752,0.19933,0.22159,0.21671,0.15005,1.03781,3.02138,1.53142,0.00278682,0.00092894,0.00278682,0.00092894,0.00278682,0.00092894,0.00278682,0.00092894
3,65.4049,1.01352,3.12571,1.39742,0.26677,0.39042,0.30772,0.21344,0.99843,2.78394,1.45104,0.00410294,0.00136765,0.00410294,0.00136765,0.00410294,0.00136765,0.00410294,0.00136765
4,83.4448,0.97814,2.79908,1.37249,0.40747,0.47029,0.44792,0.32021,0.99253,2.61962,1.42507,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
5,100.863,0.92887,2.65353,1.31844,0.71041,0.56584,0.67572,0.48897,0.92723,2.13096,1.35193,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
6,119.99,0.94345,2.34356,1.32222,0.77555,0.67064,0.76473,0.57788,0.87031,1.85073,1.30048,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
7,136.692,0.88988,2.1331,1.27573,0.84752,0.71651,0.80351,0.60553,0.84511,1.70529,1.27387,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
8,155.217,0.86088,2.0072,1.26832,0.85764,0.76627,0.84933,0.66147,0.81234,1.57376,1.23966,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
9,172.002,0.88932,1.91101,1.23923,0.89253,0.77415,0.86233,0.6697,0.80744,1.52696,1.22884,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
10,189.317,0.89916,1.92354,1.25906,0.90519,0.7786,0.8724,0.6918,0.76547,1.48933,1.19884,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
11,206.202,0.85549,1.80538,1.22467,0.86282,0.79421,0.87479,0.68603,0.77043,1.49529,1.19898,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
12,223.729,0.85916,1.763,1.22762,0.93374,0.81495,0.90267,0.71007,0.7572,1.34815,1.18056,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
13,240.269,0.81259,1.64312,1.21726,0.95058,0.83342,0.9196,0.73059,0.72736,1.28064,1.16263,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
14,258.254,0.76961,1.54107,1.1723,0.93239,0.87999,0.93271,0.73469,0.72901,1.23137,1.15342,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
15,275.027,0.8151,1.50883,1.20823,0.9744,0.8619,0.94542,0.75297,0.72289,1.22614,1.13743,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
16,292.866,0.78527,1.47458,1.17116,0.97219,0.89288,0.95597,0.76521,0.70917,1.11898,1.1227,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
