epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,26.613,1.19496,3.79928,1.60391,0.00194,0.80599,0.09796,0.04835,1.1602,3.46727,1.63434,0.00141485,0.000471617,0.00141485,0.000471617,0.00141485,0.000471617,0.00141485,0.000471617
2,45.5362,1.0715,3.49351,1.48098,0.92975,0.12821,0.23606,0.15978,1.07215,3.07261,1.5089,0.00278754,0.000929181,0.00278754,0.000929181,0.00278754,0.000929181,0.00278754,0.000929181
3,66.0548,1.01116,3.15797,1.4184,0.23581,0.40364,0.30183,0.20584,1.01896,2.88781,1.44614,0.00410365,0.00136788,0.00410365,0.00136788,0.00410365,0.00136788,0.00410365,0.00136788
4,84.7887,1.01691,2.84907,1.36379,0.48018,0.47151,0.49304,0.35597,0.98835,2.56812,1.3941,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
5,102.748,0.984,2.60475,1.35929,0.80877,0.53271,0.68544,0.49073,0.95452,2.36214,1.35486,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
6,121.427,0.93105,2.25517,1.29885,0.74895,0.68399,0.76949,0.57566,0.9091,1.95179,1.30959,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
7,139.374,0.88389,2.10404,1.28809,0.89447,0.67762,0.81671,0.61288,0.87534,1.81999,1.27485,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
8,157.411,0.88132,2.00964,1.27232,0.83751,0.74351,0.82602,0.62376,0.87501,1.74137,1.25616,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
9,174.87,0.8998,1.95087,1.27305,0.86182,0.75706,0.84506,0.64675,0.85243,1.65029,1.2457,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
10,193.426,0.83875,1.84673,1.22454,0.89241,0.80066,0.87889,0.68458,0.81359,1.5515,1.20478,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
11,210.919,0.84042,1.78379,1.23315,0.88358,0.79567,0.8857,0.68625,0.81366,1.48286,1.21206,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
12,228.709,0.83581,1.70025,1.22822,0.91487,0.83729,0.91012,0.71952,0.76267,1.43676,1.17039,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
13,247.163,0.80668,1.63228,1.20469,0.91062,0.85868,0.92261,0.73096,0.76579,1.38594,1.17106,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
14,264.626,0.79019,1.58583,1.1904,0.91795,0.8655,0.92968,0.73925,0.73709,1.28593,1.14072,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
15,283.022,0.79164,1.53719,1.19793,0.96079,0.86455,0.94158,0.75695,0.72761,1.2561,1.13781,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
16,300.555,0.801,1.46846,1.17928,0.93438,0.90339,0.95215,0.77005,0.69743,1.16932,1.10896,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
17,318.729,0.77183,1.49425,1.16864,0.96352,0.88599,0.95421,0.77437,0.69061,1.14859,1.10399,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
18,336.016,0.74281,1.3957,1.15727,0.96458,0.87912,0.95969,0.782,0.69309,1.10798,1.1054,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
19,354.176,0.71399,1.36863,1.15515,0.96317,0.8981,0.96006,0.7791,0.6955,1.06392,1.10266,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
20,371.994,0.77853,1.36973,1.17162,0.96739,0.90745,0.96787,0.79953,0.64972,1.0252,1.06848,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
21,390.506,0.72846,1.2682,1.12036,0.96918,0.91372,0.97102,0.81167,0.64566,0.94655,1.07156,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
22,408.196,0.73731,1.28635,1.14191,0.97802,0.91795,0.97451,0.81472,0.6245,0.93833,1.04026,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
23,426.176,0.73008,1.27809,1.15286,0.97339,0.91979,0.97204,0.8191,0.6214,0.92554,1.041,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
24,444.754,0.71893,1.2693,1.13737,0.9778,0.93036,0.97479,0.82221,0.61086,0.91399,1.03277,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
25,462.136,0.70445,1.2276,1.12591,0.9824,0.93781,0.97948,0.82235,0.59935,0.8639,1.02843,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
26,480.529,0.68559,1.20156,1.11926,0.97109,0.94692,0.9787,0.82586,0.60373,0.85909,1.02304,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
27,498.468,0.69843,1.16313,1.11582,0.98347,0.95062,0.98355,0.82873,0.60055,0.81773,1.0193,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
28,516.136,0.6906,1.15683,1.11782,0.98358,0.94834,0.98433,0.83639,0.58107,0.78574,1.009,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
29,533.628,0.65504,1.15168,1.09858,0.98099,0.951,0.98283,0.82751,0.59272,0.78347,1.01538,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
30,551.969,0.6704,1.08312,1.09416,0.98359,0.95227,0.98291,0.83692,0.5733,0.7575,0.99879,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
31,569.262,0.64319,1.08322,1.09561,0.97816,0.95613,0.98583,0.84312,0.56145,0.75886,0.99159,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
32,587.151,0.6383,1.09157,1.09912,0.9779,0.96466,0.98964,0.85276,0.55416,0.71817,0.98826,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
33,604.289,0.6525,1.09432,1.09996,0.98379,0.9612,0.98957,0.85028,0.5576,0.69994,0.98619,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
34,622.604,0.64045,1.05848,1.09663,0.97426,0.97022,0.99005,0.84668,0.56478,0.69921,0.9983,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
35,640.478,0.64907,1.05736,1.08207,0.98925,0.95726,0.98964,0.85477,0.5305,0.67763,0.96663,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
36,657.758,0.65234,1.01204,1.10397,0.98655,0.96688,0.99122,0.85757,0.52917,0.66092,0.96809,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
